AÑO;MES;CONGLOME;VIVIENDA;HOGAR;CODPERSO;CODINFOR;UBIGEO;DOMINIO;ESTRATO;PERIODO;P2400A;P2400B;P2400C;P2400D;P2400E;P2400F;P2400G;P2400H;P2400I;P2400J;P2400K;P2400L;P2400M;FACTORA07;NCONGLOME;SUB_CONGLOME
2022;1;9073;3;11;1;1;211101;6;8;5;0;20;0;0;0;0;0;0;0;0;0;0;20;160.6734009;40393;0
2022;1;9073;4;11;1;1;211101;6;8;5;0;30;0;0;0;0;0;0;0;0;0;80;110;109.158905;40393;0
2022;1;9073;5;11;1;1;211101;6;8;5;0;40;0;0;0;0;0;0;0;0;0;0;40;166.8276978;40393;0
2022;1;9073;183;11;2;2;211101;6;8;5;0;25;0;0;0;0;0;0;0;0;0;0;25;145.7897797;40393;0
2022;1;9073;186;11;2;2;211101;6;8;5;0;45;10;0;0;0;0;0;0;0;0;0;55;166.8276978;40393;0
2022;1;9073;194;11;2;2;211101;6;8;5;0;60;0;0;0;0;0;0;0;0;0;65;125;190.0281067;40393;0
2022;1;9149;17;11;1;1;220809;7;5;2;0;560;4200;2000;1000;0;0;0;0;0;0;1500;9260;658.9451904;8460;0
2022;1;9221;151;11;1;1;220910;7;2;5;0;90;0;600;0;0;150;0;0;39;0;0;879;87.0610733;9382;0
2022;1;9323;91;11;1;1;230102;3;2;2;0;0;40;40;800;0;0;0;0;0;0;0;880;237.158905;44280;0
2022;1;9546;10;11;1;1;240102;1;5;3;0;0;2500;180;0;0;0;0;1700;0;0;200;4580;107.628273;237;0
2022;1;9583;88;11;1;1;240202;1;7;4;0;30;156;40;0;0;0;0;1152;0;0;80;1458;10.5762949;21;0
2022;1;9583;89;11;1;1;240202;1;7;4;0;0;0;65;0;0;3240;0;0;0;0;250;3555;12.02826786;21;0
2022;1;9583;91;11;1;1;240202;1;7;4;0;0;70;0;0;0;0;0;672;0;0;0;742;11.97911072;21;0
2022;1;9583;217;11;3;3;240202;1;7;4;0;0;70;100;0;0;560;0;620;0;0;40;1390;17.8544445;21;0
2022;1;9583;218;11;1;1;240202;1;7;4;0;0;200;120;0;0;190;0;0;0;0;0;510;14.65958309;21;0
2022;1;9583;219;11;1;1;240202;1;7;4;0;0;750;320;450;100;1470;0;0;0;0;70;3160;12.02826786;21;0
2022;1;9970;17;11;1;1;81003;6;8;4;0;227;0;24;100;15;0;0;0;237;0;0;603;122.9330826;37470;0
2022;1;9970;19;11;2;2;81003;6;8;4;0;80;0;0;0;5;0;0;12;89;0;0;186;176.8249359;37470;0
2022;1;9970;20;11;1;1;81003;6;8;4;0;245;0;35;0;4;0;0;0;160;0;0;444;162.1151123;37470;0
2022;1;9970;34;11;1;1;81003;6;8;4;0;35;40;32;20;25;0;0;0;76;0;30;258;162.1151123;37470;0
2022;1;9970;37;11;1;1;81003;6;8;4;0;76;0;0;0;0;0;0;0;0;0;0;76;83.20698547;37470;0
2022;1;9970;39;11;1;1;81003;6;8;4;0;123;0;0;0;20;0;0;24;80;0;0;247;162.1151123;37470;0
2022;1;9970;40;11;1;1;81003;6;8;4;0;98;0;0;0;20;0;0;0;115;0;0;233;94.36429596;37470;0
2022;1;9997;5;11;1;1;120607;7;8;4;0;0;0;0;0;0;30;0;0;0;0;48;78;79.84114838;32508;0
2022;1;9997;7;11;1;1;120607;7;8;4;0;0;0;0;0;0;0;0;0;0;0;39;39;87.95084381;32508;0
2022;1;9997;8;11;1;1;120607;7;8;4;0;0;0;0;0;60;0;0;0;0;0;72;132;140.3015747;32508;0
2022;1;9997;62;11;1;1;120607;7;8;4;0;0;0;0;1491;0;0;0;0;216;0;0;1707;79.84114838;32508;0
2022;1;9997;63;11;1;1;120607;7;8;4;0;0;0;0;0;30;0;0;0;0;0;39;69;197.337326;32508;0
2022;1;10023;51;11;1;1;21405;2;7;4;0;0;90;0;0;0;0;0;20;0;0;0;110;137.3840637;13970;0
2022;1;10023;112;11;1;1;21405;2;7;4;0;0;740;300;0;0;0;0;0;0;0;1050;2090;93.95644379;13970;0
2022;1;10023;113;11;1;1;21405;2;7;4;0;0;0;0;0;0;0;0;0;0;0;228;228;228.2768402;13970;0
2022;1;10023;116;11;1;1;21405;2;7;4;0;300;575;500;150;0;15;0;80;0;0;120;1740;150.3234406;13970;0
2022;1;10023;117;11;1;1;21405;2;7;4;0;20;80;73;0;0;3;0;0;0;0;0;176;86.45916748;13970;0
2022;1;10023;118;11;1;1;21405;2;7;4;0;3;165;0;0;0;0;0;0;0;0;0;168;118.6416092;13970;0
2022;1;10345;117;11;2;2;210802;6;7;3;0;250;300;0;0;0;0;0;0;810;0;200;1560;166.8276978;39740;0
2022;1;10345;119;11;1;1;210802;6;7;3;0;140;150;0;0;0;0;0;0;60;0;120;470;162.8477783;39740;0
2022;1;10345;120;11;2;2;210802;6;7;3;0;75;600;0;0;0;0;0;0;375;0;400;1450;162.8477783;39740;0
2022;1;10345;121;11;1;1;210802;6;7;3;0;98;450;0;0;0;0;0;0;80;0;0;628;145.7897797;39740;0
2022;1;10345;124;11;1;1;210802;6;7;3;0;75;300;0;0;0;0;0;0;210;8;67;660;285.6950684;39740;0
2022;1;10345;125;11;1;1;210802;6;7;3;0;80;750;0;200;0;0;0;0;40;0;70;1140;197.0393219;39740;0
2022;1;10607;45;11;2;2;131003;4;5;3;0;336;750;270;0;20;0;0;0;0;0;210;1586;80.01396942;11851;0
2022;1;10607;90;11;1;1;131003;4;5;3;0;93;0;0;0;0;0;0;0;0;8;0;101;53.24593735;11851;0
2022;1;11300;83;11;1;1;160103;7;7;4;0;0;0;0;0;0;360;0;0;260;0;50;670;101.3905869;8038;0
2022;1;11300;83;11;3;1;160103;7;7;4;0;0;0;0;0;0;0;0;0;125;0;25;150;159.247467;8038;0
2022;1;11300;173;11;1;1;160103;7;7;4;0;0;0;0;300;0;0;0;0;1200;0;0;1500;73.19008636;8038;0
2022;1;11300;173;11;3;3;160103;7;7;4;0;10;0;0;150;0;0;0;0;300;0;17;477;124.5804672;8038;0
2022;1;11300;173;11;4;1;160103;7;7;4;0;0;0;0;0;0;0;0;0;450;0;0;450;73.19008636;8038;0
2022;1;11300;174;11;1;1;160103;7;7;4;0;12;0;0;0;0;408;0;0;160;0;20;600;127.4619293;8038;0
2022;1;11300;176;11;1;1;160103;7;7;4;0;0;0;0;0;0;0;0;0;0;0;12;12;124.5804672;8038;0
2022;1;11300;177;11;1;1;160103;7;7;4;0;40;0;0;900;0;35;0;0;1009;0;0;1984;26.80072594;8038;0
2022;1;15009;113;11;1;1;10101;4;4;1;0;6;300;0;300;20;0;0;0;0;0;0;626;46.09644699;7098;0
